,head
0,"{'pos': [-3.8662697464311457, -0.5036555447348817, 5.502688510955257]}"
1,"{'pos': [-3.866860629173381, -0.49433207012485936, 5.512705927316313]}"
2,"{'pos': [-3.8652333481396224, -0.4866574468518938, 5.521566055255743]}"
3,"{'pos': [-3.8611213530084, -0.4808330585089415, 5.529139652218566]}"
4,"{'pos': [-3.854129282594543, -0.4769447904511923, 5.535275717273125]}"
5,"{'pos': [-3.8446015560461833, -0.47466446221543845, 5.540237240272598]}"
6,"{'pos': [-3.8343732671859367, -0.4731157758316837, 5.544831853406553]}"
7,"{'pos': [-3.825234110538137, -0.47123675028595957, 5.549450592253827]}"
8,"{'pos': [-3.818346235643459, -0.46844674279560905, 5.554380258844755]}"
9,"{'pos': [-3.81385131389556, -0.4645708827537285, 5.559815408837516]}"
10,"{'pos': [-3.810563893058486, -0.4597450593193349, 5.565302206405481]}"
11,"{'pos': [-3.8064706534963264, -0.45521112257173535, 5.570039374842741]}"
12,"{'pos': [-3.800314463191895, -0.4527717352154642, 5.573594037416548]}"
13,"{'pos': [-3.7917692700544, -0.45342134461239364, 5.576111790521719]}"
14,"{'pos': [-3.7834634458906296, -0.4546058526150758, 5.578763252017516]}"
15,"{'pos': [-3.7768454411754906, -0.4545354900041078, 5.581723477487221]}"
16,"{'pos': [-3.7722798668118287, -0.45237268625267907, 5.584965160549512]}"
17,"{'pos': [-3.768748593552732, -0.4490314876564691, 5.588431528412989]}"
18,"{'pos': [-3.7633093753876308, -0.44670644788480984, 5.591103264214674]}"
19,"{'pos': [-3.753854361426006, -0.4471139213287383, 5.592049352679815]}"
20,"{'pos': [-3.7417831730684608, -0.4496801181887237, 5.591688398609229]}"
21,"{'pos': [-3.728570082668214, -0.45366042948923674, 5.590360561264413]}"
22,"{'pos': [-3.7168131594961724, -0.45730136545747635, 5.589166616218375]}"
23,"{'pos': [-3.7076005760249515, -0.4599484174703673, 5.5888587577712645]}"
24,"{'pos': [-3.701320425303548, -0.460990157564306, 5.589590611810253]}"
25,"{'pos': [-3.6975398146363094, -0.46138759052341877, 5.591524115038383]}"
26,"{'pos': [-3.6945104135539655, -0.46280658901428, 5.59436266661636]}"
27,"{'pos': [-3.6910252232291407, -0.4654892619537169, 5.597488348397003]}"
28,"{'pos': [-3.6874338192053386, -0.46820205641694934, 5.600811744078945]}"
29,"{'pos': [-3.683465137207166, -0.47056262215738076, 5.603747416159572]}"
30,"{'pos': [-3.6790742683386446, -0.47254787851720637, 5.606310210289232]}"
31,"{'pos': [-3.6739870353923796, -0.47453237289088085, 5.608739382539843]}"
32,"{'pos': [-3.6684493543334185, -0.4762253318041862, 5.61070874077432]}"
33,"{'pos': [-3.662758137051232, -0.4777071523112044, 5.611946036275893]}"
34,"{'pos': [-3.6573211021868315, -0.4789016634739947, 5.612372838888923]}"
35,"{'pos': [-3.652354724055189, -0.47947709897234897, 5.611794167092622]}"
36,"{'pos': [-3.6475304051748108, -0.47957688357199246, 5.6102709934539]}"
37,"{'pos': [-3.642663618400426, -0.4797489183387359, 5.607927249159363]}"
38,"{'pos': [-3.6376683056931953, -0.4801147908917752, 5.60545610507175]}"
39,"{'pos': [-3.6324206853804935, -0.48081931945295014, 5.603952138194236]}"
